Time,RR interval,HRV,Heart Rate
600.599,0.769,769.0,78.02340702210662
601.346,0.747,747.0,80.32128514056225
602.073,0.727,727.0,82.53094910591473
602.793,0.72,720.0,83.33333333333333
603.526,0.733,733.0,81.85538881309687
604.254,0.728,728.0,82.41758241758242
604.936,0.682,682.0,87.97653958944281
605.602,0.666,666.0,90.09009009009009
606.29,0.688,688.0,87.2093023255814
606.985,0.695,695.0,86.33093525179856
607.674,0.689,689.0,87.08272859216257
608.342,0.668,668.0,89.82035928143712
608.988,0.646,646.0,92.87925696594426
609.67,0.682,682.0,87.97653958944281
610.408,0.738,738.0,81.30081300813008
611.133,0.725,725.0,82.75862068965517
611.822,0.689,689.0,87.08272859216257
612.51,0.688,688.0,87.2093023255814
613.197,0.687,687.0,87.33624454148472
613.912,0.715,715.0,83.91608391608392
614.634,0.722,722.0,83.10249307479225
615.318,0.684,684.0,87.71929824561403
615.934,0.616,616.0,97.4025974025974
616.562,0.628,628.0,95.54140127388536
617.173,0.611,611.0,98.19967266775777
617.772,0.599,599.0,100.1669449081803
618.374,0.602,602.0,99.66777408637874
618.973,0.599,599.0,100.1669449081803
619.569,0.596,596.0,100.67114093959732
620.166,0.597,597.0,100.50251256281408
620.74,0.574,574.0,104.52961672473867
621.329,0.589,589.0,101.86757215619694
621.928,0.599,599.0,100.1669449081803
622.592,0.664,664.0,90.36144578313252
623.279,0.687,687.0,87.33624454148472
623.975,0.696,696.0,86.20689655172414
624.631,0.656,656.0,91.46341463414636
625.307,0.676,676.0,88.75739644970415
625.999,0.692,692.0,86.70520231213874
626.698,0.699,699.0,85.83690987124464
627.408,0.71,710.0,84.50704225352113
628.079,0.671,671.0,89.41877794336811
628.715,0.636,636.0,94.33962264150942
629.31,0.595,595.0,100.84033613445378
629.905,0.595,595.0,100.84033613445378
630.478,0.573,573.0,104.71204188481676
631.065,0.587,587.0,102.21465076660988
631.669,0.604,604.0,99.33774834437088
632.316,0.647,647.0,92.7357032457496
632.996,0.68,680.0,88.23529411764706
633.649,0.653,653.0,91.88361408882082
634.355,0.706,706.0,84.985835694051
635.076,0.721,721.0,83.21775312066575
635.785,0.709,709.0,84.6262341325811
636.432,0.647,647.0,92.7357032457496
637.02,0.588,588.0,102.04081632653062
637.602,0.582,582.0,103.09278350515464
638.176,0.574,574.0,104.52961672473867
638.748,0.572,572.0,104.89510489510492
639.35,0.602,602.0,99.66777408637874
640.033,0.683,683.0,87.84773060029282
640.778,0.745,745.0,80.53691275167786
641.531,0.753,753.0,79.6812749003984
642.262,0.731,731.0,82.07934336525308
642.95,0.688,688.0,87.2093023255814
643.669,0.719,719.0,83.44923504867873
644.398,0.729,729.0,82.3045267489712
645.13,0.732,732.0,81.9672131147541
645.845,0.715,715.0,83.91608391608392
646.551,0.706,706.0,84.985835694051
647.204,0.653,653.0,91.88361408882082
647.816,0.612,612.0,98.0392156862745
648.4,0.584,584.0,102.73972602739728
648.98,0.58,580.0,103.44827586206895
649.611,0.631,631.0,95.08716323296356
650.331,0.72,720.0,83.33333333333333
651.112,0.781,781.0,76.82458386683739
651.911,0.799,799.0,75.09386733416771
652.682,0.771,771.0,77.82101167315176
653.415,0.733,733.0,81.85538881309687
654.144,0.729,729.0,82.3045267489712
654.87,0.726,726.0,82.64462809917356
655.596,0.726,726.0,82.64462809917356
656.291,0.695,695.0,86.33093525179856
656.938,0.647,647.0,92.7357032457496
657.588,0.65,650.0,92.30769230769228
658.251,0.663,663.0,90.49773755656108
658.937,0.686,686.0,87.46355685131195
659.648,0.711,711.0,84.38818565400844
660.346,0.698,698.0,85.95988538681948
661.025,0.679,679.0,88.36524300441826
661.746,0.721,721.0,83.21775312066575
662.496,0.75,750.0,80.0
663.267,0.771,771.0,77.82101167315176
663.978,0.711,711.0,84.38818565400844
664.701,0.723,723.0,82.98755186721992
665.502,0.801,801.0,74.9063670411985
666.325,0.823,823.0,72.90400972053463
667.128,0.803,803.0,74.719800747198
667.926,0.798,798.0,75.18796992481202
668.708,0.782,782.0,76.72634271099744
669.488,0.78,780.0,76.92307692307692
670.259,0.771,771.0,77.82101167315176
671.024,0.765,765.0,78.43137254901961
671.773,0.749,749.0,80.1068090787717
672.432,0.659,659.0,91.04704097116844
673.123,0.691,691.0,86.83068017366136
673.833,0.71,710.0,84.50704225352113
674.578,0.745,745.0,80.53691275167786
675.351,0.773,773.0,77.61966364812419
676.124,0.773,773.0,77.61966364812419
676.87,0.746,746.0,80.4289544235925
