Time,RR interval,HRV,Heart Rate
300.61,0.656,656.0,91.46341463414636
301.248,0.638,638.0,94.04388714733544
301.87,0.622,622.0,96.46302250803858
302.494,0.624,624.0,96.15384615384616
303.104,0.61,610.0,98.36065573770492
303.715,0.611,611.0,98.19967266775777
304.306,0.591,591.0,101.5228426395939
304.891,0.585,585.0,102.56410256410255
305.466,0.575,575.0,104.34782608695652
306.035,0.569,569.0,105.44815465729351
306.595,0.56,560.0,107.14285714285714
307.157,0.562,562.0,106.76156583629891
307.709,0.552,552.0,108.69565217391305
308.253,0.544,544.0,110.2941176470588
308.788,0.535,535.0,112.14953271028035
309.319,0.531,531.0,112.99435028248588
309.849,0.53,530.0,113.2075471698113
310.387,0.538,538.0,111.52416356877325
310.951,0.564,564.0,106.38297872340426
311.559,0.608,608.0,98.6842105263158
312.168,0.609,609.0,98.52216748768473
312.772,0.604,604.0,99.33774834437088
313.335,0.563,563.0,106.57193605683838
313.901,0.566,566.0,106.0070671378092
314.482,0.581,581.0,103.27022375215148
315.072,0.59,590.0,101.6949152542373
315.664,0.592,592.0,101.35135135135135
316.252,0.588,588.0,102.04081632653062
316.834,0.582,582.0,103.09278350515464
317.411,0.577,577.0,103.98613518197574
317.977,0.566,566.0,106.0070671378092
318.536,0.559,559.0,107.33452593917708
319.088,0.552,552.0,108.69565217391305
319.635,0.547,547.0,109.68921389396708
320.175,0.54,540.0,111.1111111111111
320.741,0.566,566.0,106.0070671378092
321.345,0.604,604.0,99.33774834437088
321.98,0.635,635.0,94.48818897637794
322.601,0.621,621.0,96.61835748792272
323.203,0.602,602.0,99.66777408637874
323.812,0.609,609.0,98.52216748768473
324.423,0.611,611.0,98.19967266775777
325.024,0.601,601.0,99.83361064891848
325.612,0.588,588.0,102.04081632653062
326.183,0.571,571.0,105.07880910683012
326.75,0.567,567.0,105.82010582010582
327.313,0.563,563.0,106.57193605683838
327.866,0.553,553.0,108.49909584086798
328.412,0.546,546.0,109.89010989010988
328.952,0.54,540.0,111.1111111111111
329.479,0.527,527.0,113.85199240986717
329.997,0.518,518.0,115.83011583011584
330.517,0.52,520.0,115.38461538461536
331.044,0.527,527.0,113.85199240986717
331.578,0.534,534.0,112.35955056179776
332.105,0.527,527.0,113.85199240986717
332.632,0.527,527.0,113.85199240986717
333.176,0.544,544.0,110.2941176470588
333.729,0.553,553.0,108.49909584086798
334.298,0.569,569.0,105.44815465729351
334.868,0.57,570.0,105.26315789473684
