Time,RR interval,HRV,Heart Rate
420.098,0.761,761.0,78.84362680683311
420.847,0.749,749.0,80.1068090787717
421.631,0.784,784.0,76.53061224489795
422.42,0.789,789.0,76.04562737642584
423.19,0.77,770.0,77.92207792207792
423.943,0.753,753.0,79.6812749003984
424.758,0.815,815.0,73.61963190184049
425.592,0.834,834.0,71.94244604316548
426.42,0.828,828.0,72.46376811594203
427.301,0.881,881.0,68.1044267877412
428.114,0.813,813.0,73.80073800738008
428.972,0.858,858.0,69.93006993006993
429.86,0.888,888.0,67.56756756756756
430.677,0.817,817.0,73.43941248470013
431.511,0.834,834.0,71.94244604316548
432.349,0.838,838.0,71.59904534606206
433.12,0.771,771.0,77.82101167315176
433.901,0.781,781.0,76.82458386683739
434.618,0.717,717.0,83.68200836820084
435.312,0.694,694.0,86.45533141210376
436.074,0.762,762.0,78.74015748031496
436.832,0.758,758.0,79.15567282321899
437.686,0.854,854.0,70.2576112412178
438.499,0.813,813.0,73.80073800738008
439.308,0.809,809.0,74.1656365883807
440.114,0.806,806.0,74.44168734491315
440.882,0.768,768.0,78.125
441.675,0.793,793.0,75.66204287515762
442.472,0.797,797.0,75.28230865746549
443.225,0.753,753.0,79.6812749003984
444.025,0.8,800.0,75.0
444.818,0.793,793.0,75.66204287515762
445.636,0.818,818.0,73.34963325183375
446.519,0.883,883.0,67.95016987542469
447.368,0.849,849.0,70.67137809187278
448.243,0.875,875.0,68.57142857142857
449.135,0.892,892.0,67.26457399103138
449.962,0.827,827.0,72.55139056831923
450.823,0.861,861.0,69.68641114982579
451.656,0.833,833.0,72.02881152460985
452.442,0.786,786.0,76.33587786259542
453.296,0.854,854.0,70.2576112412178
454.162,0.866,866.0,69.28406466512702
454.992,0.83,830.0,72.28915662650603
455.88,0.888,888.0,67.56756756756756
456.729,0.849,849.0,70.67137809187278
457.598,0.869,869.0,69.04487917146145
458.494,0.896,896.0,66.96428571428572
459.337,0.843,843.0,71.17437722419929
460.243,0.906,906.0,66.2251655629139
461.146,0.903,903.0,66.44518272425249
461.992,0.846,846.0,70.92198581560284
462.878,0.886,886.0,67.72009029345372
463.721,0.843,843.0,71.17437722419929
464.571,0.85,850.0,70.58823529411765
465.462,0.891,891.0,67.34006734006734
466.303,0.841,841.0,71.3436385255648
467.222,0.919,919.0,65.28835690968444
468.065,0.843,843.0,71.17437722419929
468.943,0.878,878.0,68.3371298405467
469.824,0.881,881.0,68.1044267877412
470.651,0.827,827.0,72.55139056831923
471.523,0.872,872.0,68.80733944954129
472.375,0.852,852.0,70.42253521126761
473.235,0.86,860.0,69.76744186046513
474.115,0.88,880.0,68.18181818181819
474.94,0.825,825.0,72.72727272727273
475.82,0.88,880.0,68.18181818181819
476.674,0.854,854.0,70.2576112412178
477.49,0.816,816.0,73.52941176470588
478.361,0.871,871.0,68.88633754305395
479.256,0.895,895.0,67.0391061452514
480.099,0.843,843.0,71.17437722419929
480.921,0.822,822.0,72.99270072992701
481.789,0.868,868.0,69.12442396313365
482.62,0.831,831.0,72.20216606498195
483.442,0.822,822.0,72.99270072992701
484.286,0.844,844.0,71.09004739336493
485.095,0.809,809.0,74.1656365883807
485.948,0.853,853.0,70.33997655334116
486.814,0.866,866.0,69.28406466512702
487.652,0.838,838.0,71.59904534606206
