Time,RR interval,HRV,Heart Rate
360.777,0.831,831.0,72.20216606498195
361.609,0.832,832.0,72.11538461538461
362.416,0.807,807.0,74.34944237918215
363.269,0.853,853.0,70.33997655334116
364.099,0.83,830.0,72.28915662650603
364.906,0.807,807.0,74.34944237918215
365.735,0.829,829.0,72.37635705669481
366.53,0.795,795.0,75.47169811320754
367.311,0.781,781.0,76.82458386683739
368.121,0.81,810.0,74.07407407407408
368.933,0.812,812.0,73.89162561576353
369.765,0.832,832.0,72.11538461538461
370.638,0.873,873.0,68.72852233676976
371.466,0.828,828.0,72.46376811594203
372.356,0.89,890.0,67.41573033707866
373.211,0.855,855.0,70.17543859649122
374.06,0.849,849.0,70.67137809187278
374.914,0.854,854.0,70.2576112412178
375.72,0.806,806.0,74.44168734491315
376.519,0.799,799.0,75.09386733416771
377.318,0.799,799.0,75.09386733416771
378.091,0.773,773.0,77.61966364812419
378.915,0.824,824.0,72.81553398058253
379.76,0.845,845.0,71.00591715976331
380.586,0.826,826.0,72.63922518159806
381.482,0.896,896.0,66.96428571428572
382.347,0.865,865.0,69.36416184971098
383.209,0.862,862.0,69.60556844547564
384.071,0.862,862.0,69.60556844547564
384.871,0.8,800.0,75.0
385.681,0.81,810.0,74.07407407407408
386.476,0.795,795.0,75.47169811320754
387.242,0.766,766.0,78.3289817232376
388.055,0.813,813.0,73.80073800738008
388.852,0.797,797.0,75.28230865746549
389.669,0.817,817.0,73.43941248470013
390.514,0.845,845.0,71.00591715976331
391.329,0.815,815.0,73.61963190184049
392.147,0.818,818.0,73.34963325183375
392.962,0.815,815.0,73.61963190184049
393.737,0.775,775.0,77.41935483870968
394.547,0.81,810.0,74.07407407407408
395.356,0.809,809.0,74.1656365883807
396.155,0.799,799.0,75.09386733416771
397.004,0.849,849.0,70.67137809187278
397.849,0.845,845.0,71.00591715976331
398.672,0.823,823.0,72.90400972053463
399.529,0.857,857.0,70.01166861143524
400.359,0.83,830.0,72.28915662650603
401.205,0.846,846.0,70.92198581560284
402.06,0.855,855.0,70.17543859649122
402.874,0.814,814.0,73.71007371007371
403.728,0.854,854.0,70.2576112412178
404.598,0.87,870.0,68.9655172413793
405.409,0.811,811.0,73.98273736128236
406.245,0.836,836.0,71.77033492822967
407.061,0.816,816.0,73.52941176470588
407.861,0.8,800.0,75.0
408.704,0.843,843.0,71.17437722419929
409.563,0.859,859.0,69.84866123399303
410.387,0.824,824.0,72.81553398058253
411.261,0.874,874.0,68.64988558352404
412.149,0.888,888.0,67.56756756756756
412.982,0.833,833.0,72.02881152460985
413.836,0.854,854.0,70.2576112412178
414.663,0.827,827.0,72.55139056831923
415.446,0.783,783.0,76.62835249042146
416.248,0.802,802.0,74.81296758104737
417.036,0.788,788.0,76.14213197969544
417.829,0.793,793.0,75.66204287515762
418.686,0.857,857.0,70.01166861143524
419.532,0.846,846.0,70.92198581560284
420.392,0.86,860.0,69.76744186046513
421.293,0.901,901.0,66.59267480577137
422.174,0.881,881.0,68.1044267877412
423.012,0.838,838.0,71.59904534606206
423.877,0.865,865.0,69.36416184971098
424.71,0.833,833.0,72.02881152460985
425.504,0.794,794.0,75.56675062972292
426.334,0.83,830.0,72.28915662650603
427.193,0.859,859.0,69.84866123399303
428.047,0.854,854.0,70.2576112412178
428.903,0.856,856.0,70.09345794392523
429.773,0.87,870.0,68.9655172413793
430.611,0.838,838.0,71.59904534606206
431.426,0.815,815.0,73.61963190184049
432.24,0.814,814.0,73.71007371007371
433.039,0.799,799.0,75.09386733416771
433.838,0.799,799.0,75.09386733416771
434.69,0.852,852.0,70.42253521126761
435.518,0.828,828.0,72.46376811594203
436.358,0.84,840.0,71.42857142857143
437.248,0.89,890.0,67.41573033707866
438.102,0.854,854.0,70.2576112412178
438.962,0.86,860.0,69.76744186046513
439.825,0.863,863.0,69.52491309385863
440.621,0.796,796.0,75.37688442211055
441.407,0.786,786.0,76.33587786259542
442.186,0.779,779.0,77.02182284980745
442.948,0.762,762.0,78.74015748031496
443.729,0.781,781.0,76.82458386683739
444.541,0.812,812.0,73.89162561576353
445.341,0.8,800.0,75.0
446.17,0.829,829.0,72.37635705669481
447.017,0.847,847.0,70.83825265643448
447.829,0.812,812.0,73.89162561576353
448.668,0.839,839.0,71.51370679380214
449.486,0.818,818.0,73.34963325183375
450.284,0.798,798.0,75.18796992481202
451.089,0.805,805.0,74.53416149068322
451.869,0.78,780.0,76.92307692307692
452.661,0.792,792.0,75.75757575757575
453.477,0.816,816.0,73.52941176470588
454.306,0.829,829.0,72.37635705669481
455.129,0.823,823.0,72.90400972053463
455.983,0.854,854.0,70.2576112412178
456.803,0.82,820.0,73.17073170731707
457.597,0.794,794.0,75.56675062972292
458.381,0.784,784.0,76.53061224489795
459.154,0.773,773.0,77.61966364812419
459.953,0.799,799.0,75.09386733416771
460.776,0.823,823.0,72.90400972053463
461.591,0.815,815.0,73.61963190184049
462.439,0.848,848.0,70.75471698113208
463.303,0.864,864.0,69.44444444444444
464.135,0.832,832.0,72.11538461538461
464.971,0.836,836.0,71.77033492822967
465.776,0.805,805.0,74.53416149068322
466.566,0.79,790.0,75.94936708860759
467.373,0.807,807.0,74.34944237918215
468.174,0.801,801.0,74.9063670411985
468.995,0.821,821.0,73.0816077953715
469.837,0.842,842.0,71.25890736342042
470.669,0.832,832.0,72.11538461538461
471.531,0.862,862.0,69.60556844547564
472.419,0.888,888.0,67.56756756756756
473.278,0.859,859.0,69.84866123399303
474.134,0.856,856.0,70.09345794392523
474.97,0.836,836.0,71.77033492822967
475.784,0.814,814.0,73.71007371007371
476.605,0.821,821.0,73.0816077953715
477.416,0.811,811.0,73.98273736128236
478.216,0.8,800.0,75.0
479.056,0.84,840.0,71.42857142857143
479.919,0.863,863.0,69.52491309385863
480.825,0.906,906.0,66.2251655629139
481.796,0.971,971.0,61.79196704428425
482.747,0.951,951.0,63.09148264984228
483.676,0.929,929.0,64.58557588805166
484.551,0.875,875.0,68.57142857142857
485.364,0.813,813.0,73.80073800738008
486.165,0.801,801.0,74.9063670411985
486.94,0.775,775.0,77.41935483870968
487.733,0.793,793.0,75.66204287515762
488.618,0.885,885.0,67.79661016949153
489.639,1.021,1021.0,58.76591576885407
490.579,0.94,940.0,63.82978723404256
491.54,0.961,961.0,62.434963579604585
492.437,0.897,897.0,66.88963210702342
493.318,0.881,881.0,68.1044267877412
494.171,0.853,853.0,70.33997655334116
494.976,0.805,805.0,74.53416149068322
495.8,0.824,824.0,72.81553398058253
496.601,0.801,801.0,74.9063670411985
497.398,0.797,797.0,75.28230865746549
498.208,0.81,810.0,74.07407407407408
499.009,0.801,801.0,74.9063670411985
499.809,0.8,800.0,75.0
500.607,0.798,798.0,75.18796992481202
501.391,0.784,784.0,76.53061224489795
502.192,0.801,801.0,74.9063670411985
502.994,0.802,802.0,74.81296758104737
503.792,0.798,798.0,75.18796992481202
504.606,0.814,814.0,73.71007371007371
505.393,0.787,787.0,76.23888182973316
506.18,0.787,787.0,76.23888182973316
506.98,0.8,800.0,75.0
507.783,0.803,803.0,74.719800747198
508.567,0.784,784.0,76.53061224489795
509.363,0.796,796.0,75.37688442211055
510.131,0.768,768.0,78.125
510.888,0.757,757.0,79.26023778071334
511.65,0.762,762.0,78.74015748031496
512.427,0.777,777.0,77.22007722007721
513.212,0.785,785.0,76.43312101910827
514.002,0.79,790.0,75.94936708860759
514.795,0.793,793.0,75.66204287515762
515.539,0.744,744.0,80.64516129032258
516.292,0.753,753.0,79.6812749003984
517.047,0.755,755.0,79.47019867549669
517.796,0.749,749.0,80.1068090787717
518.528,0.732,732.0,81.9672131147541
519.251,0.723,723.0,82.98755186721992
519.967,0.716,716.0,83.79888268156424
520.689,0.722,722.0,83.10249307479225
521.424,0.735,735.0,81.63265306122449
522.171,0.747,747.0,80.32128514056225
522.93,0.759,759.0,79.05138339920948
523.691,0.761,761.0,78.84362680683311
524.458,0.767,767.0,78.22685788787484
525.212,0.754,754.0,79.57559681697613
525.977,0.765,765.0,78.43137254901961
526.752,0.775,775.0,77.41935483870968
527.521,0.769,769.0,78.02340702210662
528.291,0.77,770.0,77.92207792207792
529.053,0.762,762.0,78.74015748031496
529.795,0.742,742.0,80.86253369272237
530.531,0.736,736.0,81.52173913043478
531.268,0.737,737.0,81.4111261872456
532.022,0.754,754.0,79.57559681697613
532.793,0.771,771.0,77.82101167315176
533.582,0.789,789.0,76.04562737642584
534.375,0.793,793.0,75.66204287515762
535.186,0.811,811.0,73.98273736128236
535.99,0.804,804.0,74.62686567164178
536.796,0.806,806.0,74.44168734491315
537.605,0.809,809.0,74.1656365883807
538.409,0.804,804.0,74.62686567164178
539.213,0.804,804.0,74.62686567164178
540.004,0.791,791.0,75.85335018963337
540.778,0.774,774.0,77.51937984496124
541.551,0.773,773.0,77.61966364812419
542.318,0.767,767.0,78.22685788787484
543.082,0.764,764.0,78.53403141361257
543.863,0.781,781.0,76.82458386683739
544.677,0.814,814.0,73.71007371007371
545.469,0.792,792.0,75.75757575757575
546.253,0.784,784.0,76.53061224489795
547.026,0.773,773.0,77.61966364812419
547.788,0.762,762.0,78.74015748031496
548.539,0.751,751.0,79.89347536617844
549.291,0.752,752.0,79.7872340425532
550.046,0.755,755.0,79.47019867549669
550.807,0.761,761.0,78.84362680683311
551.561,0.754,754.0,79.57559681697613
552.31,0.749,749.0,80.1068090787717
553.044,0.734,734.0,81.74386920980928
553.759,0.715,715.0,83.91608391608392
554.494,0.735,735.0,81.63265306122449
555.249,0.755,755.0,79.47019867549669
556.028,0.779,779.0,77.02182284980745
556.807,0.779,779.0,77.02182284980745
557.575,0.768,768.0,78.125
558.326,0.751,751.0,79.89347536617844
559.071,0.745,745.0,80.53691275167786
559.798,0.727,727.0,82.53094910591473
560.517,0.719,719.0,83.44923504867873
561.226,0.709,709.0,84.6262341325811
561.935,0.709,709.0,84.6262341325811
562.644,0.709,709.0,84.6262341325811
563.347,0.703,703.0,85.348506401138
564.061,0.714,714.0,84.03361344537817
564.779,0.718,718.0,83.56545961002786
565.508,0.729,729.0,82.3045267489712
566.25,0.742,742.0,80.86253369272237
566.999,0.749,749.0,80.1068090787717
567.748,0.749,749.0,80.1068090787717
568.487,0.739,739.0,81.19079837618403
569.221,0.734,734.0,81.74386920980928
569.95,0.729,729.0,82.3045267489712
570.675,0.725,725.0,82.75862068965517
571.396,0.721,721.0,83.21775312066575
572.113,0.717,717.0,83.68200836820084
572.831,0.718,718.0,83.56545961002786
573.565,0.734,734.0,81.74386920980928
574.303,0.738,738.0,81.30081300813008
575.04,0.737,737.0,81.4111261872456
575.782,0.742,742.0,80.86253369272237
576.529,0.747,747.0,80.32128514056225
577.278,0.749,749.0,80.1068090787717
578.027,0.749,749.0,80.1068090787717
578.774,0.747,747.0,80.32128514056225
579.521,0.747,747.0,80.32128514056225
580.267,0.746,746.0,80.4289544235925
581.007,0.74,740.0,81.08108108108108
