Time,RR interval,HRV,Heart Rate
0.654,0.654,654.0,91.74311926605505
1.362,0.708,708.0,84.74576271186442
2.19,0.828,828.0,72.46376811594203
3.045,0.855,855.0,70.17543859649122
3.905,0.86,860.0,69.76744186046513
4.704,0.799,799.0,75.09386733416771
5.475,0.771,771.0,77.82101167315176
6.289,0.814,814.0,73.71007371007371
7.106,0.817,817.0,73.43941248470013
7.884,0.778,778.0,77.12082262210797
8.618,0.734,734.0,81.74386920980928
9.385,0.767,767.0,78.22685788787484
10.199,0.814,814.0,73.71007371007371
11.042,0.843,843.0,71.17437722419929
11.83,0.788,788.0,76.14213197969544
12.549,0.719,719.0,83.44923504867873
13.251,0.702,702.0,85.47008547008548
14.019,0.768,768.0,78.125
14.827,0.808,808.0,74.25742574257426
15.644,0.817,817.0,73.43941248470013
16.401,0.757,757.0,79.26023778071334
17.118,0.717,717.0,83.68200836820084
17.885,0.767,767.0,78.22685788787484
18.699,0.814,814.0,73.71007371007371
19.535,0.836,836.0,71.77033492822967
20.312,0.777,777.0,77.22007722007721
21.015,0.703,703.0,85.348506401138
21.703,0.688,688.0,87.2093023255814
22.412,0.709,709.0,84.6262341325811
23.201,0.789,789.0,76.04562737642584
24.026,0.825,825.0,72.72727272727273
24.835,0.809,809.0,74.1656365883807
25.569,0.734,734.0,81.74386920980928
26.325,0.756,756.0,79.36507936507937
27.094,0.769,769.0,78.02340702210662
27.787,0.693,693.0,86.58008658008659
28.433,0.646,646.0,92.87925696594426
29.133,0.7,700.0,85.71428571428572
29.831,0.698,698.0,85.95988538681948
30.502,0.671,671.0,89.41877794336811
31.185,0.683,683.0,87.84773060029282
31.909,0.724,724.0,82.87292817679558
32.692,0.783,783.0,76.62835249042146
33.469,0.777,777.0,77.22007722007721
34.19,0.721,721.0,83.21775312066575
34.897,0.707,707.0,84.86562942008487
35.633,0.736,736.0,81.52173913043478
36.415,0.782,782.0,76.72634271099744
37.147,0.732,732.0,81.9672131147541
37.847,0.7,700.0,85.71428571428572
38.503,0.656,656.0,91.46341463414636
39.158,0.655,655.0,91.6030534351145
39.831,0.673,673.0,89.15304606240713
40.543,0.712,712.0,84.26966292134833
41.303,0.76,760.0,78.94736842105263
42.068,0.765,765.0,78.43137254901961
42.834,0.766,766.0,78.3289817232376
43.527,0.693,693.0,86.58008658008659
44.181,0.654,654.0,91.74311926605505
44.816,0.635,635.0,94.48818897637794
45.465,0.649,649.0,92.44992295839752
46.168,0.703,703.0,85.348506401138
46.957,0.789,789.0,76.04562737642584
47.776,0.819,819.0,73.26007326007327
48.584,0.808,808.0,74.25742574257426
49.331,0.747,747.0,80.32128514056225
50.114,0.783,783.0,76.62835249042146
50.918,0.804,804.0,74.62686567164178
51.74,0.822,822.0,72.99270072992701
