Time,RR interval,HRV,Heart Rate
0.847,0.847,847.0,70.83825265643448
1.695,0.848,848.0,70.75471698113208
2.542,0.847,847.0,70.83825265643448
3.38,0.838,838.0,71.59904534606206
4.19,0.81,810.0,74.07407407407408
4.992,0.802,802.0,74.81296758104737
5.767,0.775,775.0,77.41935483870968
6.541,0.774,774.0,77.51937984496124
7.292,0.751,751.0,79.89347536617844
8.032,0.74,740.0,81.08108108108108
8.769,0.737,737.0,81.4111261872456
9.478,0.709,709.0,84.6262341325811
10.151,0.673,673.0,89.15304606240713
10.8,0.649,649.0,92.44992295839752
11.461,0.661,661.0,90.7715582450832
12.134,0.673,673.0,89.15304606240713
12.8,0.666,666.0,90.09009009009009
13.482,0.682,682.0,87.97653958944281
14.206,0.724,724.0,82.87292817679558
14.896,0.69,690.0,86.95652173913045
15.568,0.672,672.0,89.28571428571428
16.216,0.648,648.0,92.5925925925926
16.831,0.615,615.0,97.5609756097561
17.439,0.608,608.0,98.6842105263158
18.084,0.645,645.0,93.02325581395348
18.774,0.69,690.0,86.95652173913045
19.53,0.756,756.0,79.36507936507937
20.206,0.676,676.0,88.75739644970415
20.911,0.705,705.0,85.1063829787234
21.614,0.703,703.0,85.348506401138
22.337,0.723,723.0,82.98755186721992
23.015,0.678,678.0,88.49557522123894
23.697,0.682,682.0,87.97653958944281
24.362,0.665,665.0,90.22556390977444
25.008,0.646,646.0,92.87925696594426
25.64,0.632,632.0,94.9367088607595
26.257,0.617,617.0,97.2447325769854
26.863,0.606,606.0,99.009900990099
27.467,0.604,604.0,99.33774834437088
28.078,0.611,611.0,98.19967266775777
28.716,0.638,638.0,94.04388714733544
29.402,0.686,686.0,87.46355685131195
30.118,0.716,716.0,83.79888268156424
30.789,0.671,671.0,89.41877794336811
31.444,0.655,655.0,91.6030534351145
32.079,0.635,635.0,94.48818897637794
32.774,0.695,695.0,86.33093525179856
33.503,0.729,729.0,82.3045267489712
34.236,0.733,733.0,81.85538881309687
34.936,0.7,700.0,85.71428571428572
35.576,0.64,640.0,93.75
36.246,0.67,670.0,89.55223880597015
36.93,0.684,684.0,87.71929824561403
37.647,0.717,717.0,83.68200836820084
38.312,0.665,665.0,90.22556390977444
38.952,0.64,640.0,93.75
39.59,0.638,638.0,94.04388714733544
40.237,0.647,647.0,92.7357032457496
40.911,0.674,674.0,89.02077151335311
41.604,0.693,693.0,86.58008658008659
42.311,0.707,707.0,84.86562942008487
43.012,0.701,701.0,85.59201141226819
43.711,0.699,699.0,85.83690987124464
44.393,0.682,682.0,87.97653958944281
45.061,0.668,668.0,89.82035928143712
45.696,0.635,635.0,94.48818897637794
46.31,0.614,614.0,97.7198697068404
46.906,0.596,596.0,100.67114093959732
47.482,0.576,576.0,104.16666666666669
48.056,0.574,574.0,104.52961672473867
48.617,0.561,561.0,106.951871657754
49.183,0.566,566.0,106.0070671378092
49.791,0.608,608.0,98.6842105263158
50.49,0.699,699.0,85.83690987124464
51.244,0.754,754.0,79.57559681697613
52.018,0.774,774.0,77.51937984496124
52.788,0.77,770.0,77.92207792207792
53.559,0.771,771.0,77.82101167315176
54.33,0.771,771.0,77.82101167315176
55.123,0.793,793.0,75.66204287515762
55.925,0.802,802.0,74.81296758104737
56.727,0.802,802.0,74.81296758104737
57.518,0.791,791.0,75.85335018963337
58.292,0.774,774.0,77.51937984496124
59.063,0.771,771.0,77.82101167315176
59.84,0.777,777.0,77.22007722007721
60.611,0.771,771.0,77.82101167315176
61.374,0.763,763.0,78.63695937090432
62.116,0.742,742.0,80.86253369272237
62.831,0.715,715.0,83.91608391608392
63.542,0.711,711.0,84.38818565400844
64.242,0.7,700.0,85.71428571428572
64.957,0.715,715.0,83.91608391608392
65.686,0.729,729.0,82.3045267489712
66.422,0.736,736.0,81.52173913043478
67.185,0.763,763.0,78.63695937090432
67.969,0.784,784.0,76.53061224489795
68.667,0.698,698.0,85.95988538681948
69.367,0.7,700.0,85.71428571428572
70.075,0.708,708.0,84.74576271186442
70.815,0.74,740.0,81.08108108108108
71.582,0.767,767.0,78.22685788787484
72.341,0.759,759.0,79.05138339920948
73.075,0.734,734.0,81.74386920980928
73.774,0.699,699.0,85.83690987124464
74.455,0.681,681.0,88.10572687224669
75.142,0.687,687.0,87.33624454148472
75.83,0.688,688.0,87.2093023255814
76.515,0.685,685.0,87.5912408759124
77.193,0.678,678.0,88.49557522123894
77.873,0.68,680.0,88.23529411764706
78.537,0.664,664.0,90.36144578313252
79.188,0.651,651.0,92.16589861751152
79.812,0.624,624.0,96.15384615384616
80.443,0.631,631.0,95.08716323296356
81.098,0.655,655.0,91.6030534351145
81.793,0.695,695.0,86.33093525179856
82.511,0.718,718.0,83.56545961002786
83.225,0.714,714.0,84.03361344537817
83.964,0.739,739.0,81.19079837618403
84.696,0.732,732.0,81.9672131147541
85.457,0.761,761.0,78.84362680683311
86.196,0.739,739.0,81.19079837618403
86.935,0.739,739.0,81.19079837618403
87.644,0.709,709.0,84.6262341325811
88.351,0.707,707.0,84.86562942008487
89.021,0.67,670.0,89.55223880597015
89.696,0.675,675.0,88.88888888888889
90.384,0.688,688.0,87.2093023255814
91.069,0.685,685.0,87.5912408759124
91.756,0.687,687.0,87.33624454148472
92.441,0.685,685.0,87.5912408759124
93.108,0.667,667.0,89.95502248875562
93.767,0.659,659.0,91.04704097116844
94.425,0.658,658.0,91.1854103343465
95.117,0.692,692.0,86.70520231213874
95.822,0.705,705.0,85.1063829787234
96.523,0.701,701.0,85.59201141226819
97.186,0.663,663.0,90.49773755656108
97.877,0.691,691.0,86.83068017366136
98.563,0.686,686.0,87.46355685131195
99.265,0.702,702.0,85.47008547008548
99.972,0.707,707.0,84.86562942008487
100.674,0.702,702.0,85.47008547008548
101.334,0.66,660.0,90.9090909090909
101.996,0.662,662.0,90.63444108761328
102.639,0.643,643.0,93.31259720062208
103.298,0.659,659.0,91.04704097116844
103.961,0.663,663.0,90.49773755656108
104.607,0.646,646.0,92.87925696594426
105.229,0.622,622.0,96.46302250803858
105.87,0.641,641.0,93.603744149766
106.564,0.694,694.0,86.45533141210376
107.345,0.781,781.0,76.82458386683739
108.158,0.813,813.0,73.80073800738008
108.906,0.748,748.0,80.21390374331551
109.618,0.712,712.0,84.26966292134833
110.332,0.714,714.0,84.03361344537817
111.059,0.727,727.0,82.53094910591473
111.798,0.739,739.0,81.19079837618403
112.528,0.73,730.0,82.1917808219178
113.229,0.701,701.0,85.59201141226819
113.905,0.676,676.0,88.75739644970415
114.551,0.646,646.0,92.87925696594426
115.183,0.632,632.0,94.9367088607595
115.78,0.597,597.0,100.50251256281408
116.371,0.591,591.0,101.5228426395939
116.965,0.594,594.0,101.010101010101
117.578,0.613,613.0,97.87928221859708
118.227,0.649,649.0,92.44992295839752
118.889,0.662,662.0,90.63444108761328
119.532,0.643,643.0,93.31259720062208
120.177,0.645,645.0,93.02325581395348
120.921,0.744,744.0,80.64516129032258
121.65,0.729,729.0,82.3045267489712
122.44,0.79,790.0,75.94936708860759
123.253,0.813,813.0,73.80073800738008
124.013,0.76,760.0,78.94736842105263
124.807,0.794,794.0,75.56675062972292
125.62,0.813,813.0,73.80073800738008
126.434,0.814,814.0,73.71007371007371
127.207,0.773,773.0,77.61966364812419
127.853,0.646,646.0,92.87925696594426
128.482,0.629,629.0,95.38950715421304
129.13,0.648,648.0,92.5925925925926
129.773,0.643,643.0,93.31259720062208
130.441,0.668,668.0,89.82035928143712
131.108,0.667,667.0,89.95502248875562
131.744,0.636,636.0,94.33962264150942
132.356,0.612,612.0,98.0392156862745
132.954,0.598,598.0,100.33444816053512
133.541,0.587,587.0,102.21465076660988
134.118,0.577,577.0,103.98613518197574
134.693,0.575,575.0,104.34782608695652
135.297,0.604,604.0,99.33774834437088
135.969,0.672,672.0,89.28571428571428
136.669,0.7,700.0,85.71428571428572
137.389,0.72,720.0,83.33333333333333
138.121,0.732,732.0,81.9672131147541
138.841,0.72,720.0,83.33333333333333
139.55,0.709,709.0,84.6262341325811
140.258,0.708,708.0,84.74576271186442
140.959,0.701,701.0,85.59201141226819
141.663,0.704,704.0,85.22727272727273
142.362,0.699,699.0,85.83690987124464
143.091,0.729,729.0,82.3045267489712
143.821,0.73,730.0,82.1917808219178
144.572,0.751,751.0,79.89347536617844
145.343,0.771,771.0,77.82101167315176
146.128,0.785,785.0,76.43312101910827
146.952,0.824,824.0,72.81553398058253
147.778,0.826,826.0,72.63922518159806
148.583,0.805,805.0,74.53416149068322
149.384,0.801,801.0,74.9063670411985
150.196,0.812,812.0,73.89162561576353
151.007,0.811,811.0,73.98273736128236
151.803,0.796,796.0,75.37688442211055
152.585,0.782,782.0,76.72634271099744
153.365,0.78,780.0,76.92307692307692
154.145,0.78,780.0,76.92307692307692
154.907,0.762,762.0,78.74015748031496
155.635,0.728,728.0,82.41758241758242
156.397,0.762,762.0,78.74015748031496
157.185,0.788,788.0,76.14213197969544
157.957,0.772,772.0,77.720207253886
158.751,0.794,794.0,75.56675062972292
159.565,0.814,814.0,73.71007371007371
160.37,0.805,805.0,74.53416149068322
161.169,0.799,799.0,75.09386733416771
161.981,0.812,812.0,73.89162561576353
162.795,0.814,814.0,73.71007371007371
163.586,0.791,791.0,75.85335018963337
164.365,0.779,779.0,77.02182284980745
165.137,0.772,772.0,77.720207253886
165.909,0.772,772.0,77.720207253886
166.661,0.752,752.0,79.7872340425532
167.422,0.761,761.0,78.84362680683311
168.199,0.777,777.0,77.22007722007721
168.963,0.764,764.0,78.53403141361257
