Time,RR interval,HRV,Heart Rate
0.814,0.814,814.0,73.71007371007371
1.585,0.771,771.0,77.82101167315176
2.274,0.689,689.0,87.08272859216257
3.006,0.732,732.0,81.9672131147541
3.735,0.729,729.0,82.3045267489712
4.652,0.917,917.0,65.43075245365321
5.608,0.956,956.0,62.76150627615063
6.537,0.929,929.0,64.58557588805166
7.358,0.821,821.0,73.0816077953715
8.241,0.883,883.0,67.95016987542469
9.166,0.925,925.0,64.86486486486486
9.967,0.801,801.0,74.9063670411985
10.848,0.881,881.0,68.1044267877412
11.841,0.993,993.0,60.42296072507553
12.837,0.996,996.0,60.24096385542169
13.733,0.896,896.0,66.96428571428572
14.742,1.009,1009.0,59.46481665014867
15.761,1.019,1019.0,58.88125613346419
16.67,0.909,909.0,66.00660066006601
17.658,0.988,988.0,60.72874493927125
18.671,1.013,1013.0,59.23000987166832
19.598,0.927,927.0,64.72491909385113
20.631,1.033,1033.0,58.083252662149086
21.652,1.021,1021.0,58.76591576885407
22.544,0.892,892.0,67.26457399103138
23.549,1.005,1005.0,59.70149253731344
24.567,1.018,1018.0,58.93909626719057
25.515,0.948,948.0,63.291139240506325
26.527,1.012,1012.0,59.28853754940711
27.56,1.033,1033.0,58.083252662149086
28.446,0.886,886.0,67.72009029345372
29.417,0.971,971.0,61.79196704428425
30.428,1.011,1011.0,59.34718100890208
31.34,0.912,912.0,65.78947368421052
32.333,0.993,993.0,60.42296072507553
33.362,1.029,1029.0,58.30903790087464
34.279,0.917,917.0,65.43075245365321
35.258,0.979,979.0,61.287027579162405
36.247,0.989,989.0,60.66734074823054
37.123,0.876,876.0,68.4931506849315
38.08,0.957,957.0,62.69592476489028
39.1,1.02,1020.0,58.8235294117647
40.024,0.924,924.0,64.93506493506493
41.048,1.024,1024.0,58.59375
42.099,1.051,1051.0,57.0884871550904
43.02,0.921,921.0,65.14657980456026
44.016,0.996,996.0,60.24096385542169
45.056,1.04,1040.0,57.692307692307686
45.969,0.913,913.0,65.71741511500548
46.954,0.985,985.0,60.91370558375634
47.969,1.015,1015.0,59.11330049261085
48.894,0.925,925.0,64.86486486486486
49.889,0.995,995.0,60.30150753768844
50.948,1.059,1059.0,56.657223796034
51.908,0.96,960.0,62.50000000000001
52.905,0.997,997.0,60.18054162487462
53.909,1.004,1004.0,59.7609561752988
54.806,0.897,897.0,66.88963210702342
55.779,0.973,973.0,61.664953751284685
56.784,1.005,1005.0,59.70149253731344
57.715,0.931,931.0,64.4468313641246
58.677,0.962,962.0,62.37006237006237
59.701,1.024,1024.0,58.59375
60.602,0.901,901.0,66.59267480577137
61.54,0.938,938.0,63.96588486140725
62.507,0.967,967.0,62.04756980351603
63.406,0.899,899.0,66.74082313681868
64.305,0.899,899.0,66.74082313681868
65.302,0.997,997.0,60.18054162487462
66.257,0.955,955.0,62.82722513089005
67.107,0.85,850.0,70.58823529411765
67.999,0.892,892.0,67.26457399103138
68.853,0.854,854.0,70.2576112412178
69.611,0.758,758.0,79.15567282321899
70.399,0.788,788.0,76.14213197969544
71.235,0.836,836.0,71.77033492822967
71.989,0.754,754.0,79.57559681697613
72.701,0.712,712.0,84.26966292134833
73.438,0.737,737.0,81.4111261872456
74.265,0.827,827.0,72.55139056831923
74.986,0.721,721.0,83.21775312066575
75.809,0.823,823.0,72.90400972053463
76.659,0.85,850.0,70.58823529411765
77.405,0.746,746.0,80.4289544235925
78.105,0.7,700.0,85.71428571428572
78.854,0.749,749.0,80.1068090787717
79.697,0.843,843.0,71.17437722419929
80.562,0.865,865.0,69.36416184971098
81.375,0.813,813.0,73.80073800738008
82.224,0.849,849.0,70.67137809187278
83.139,0.915,915.0,65.57377049180327
84.035,0.896,896.0,66.96428571428572
84.784,0.749,749.0,80.1068090787717
85.614,0.83,830.0,72.28915662650603
86.432,0.818,818.0,73.34963325183375
87.167,0.735,735.0,81.63265306122449
88.002,0.835,835.0,71.8562874251497
88.899,0.897,897.0,66.88963210702342
89.834,0.935,935.0,64.17112299465239
90.695,0.861,861.0,69.68641114982579
91.618,0.923,923.0,65.00541711809318
92.508,0.89,890.0,67.41573033707866
93.254,0.746,746.0,80.4289544235925
94.029,0.775,775.0,77.41935483870968
94.877,0.848,848.0,70.75471698113208
95.764,0.887,887.0,67.64374295377677
96.599,0.835,835.0,71.8562874251497
97.326,0.727,727.0,82.53094910591473
98.126,0.8,800.0,75.0
98.98,0.854,854.0,70.2576112412178
99.889,0.909,909.0,66.00660066006601
100.763,0.874,874.0,68.64988558352404
101.606,0.843,843.0,71.17437722419929
102.396,0.79,790.0,75.94936708860759
103.153,0.757,757.0,79.26023778071334
103.873,0.72,720.0,83.33333333333333
104.561,0.688,688.0,87.2093023255814
105.211,0.65,650.0,92.30769230769228
105.844,0.633,633.0,94.7867298578199
106.469,0.625,625.0,96.0
107.085,0.616,616.0,97.4025974025974
107.69,0.605,605.0,99.17355371900828
108.281,0.591,591.0,101.5228426395939
108.857,0.576,576.0,104.16666666666669
109.446,0.589,589.0,101.86757215619694
111.48,2.034,2034.0,29.498525073746315
112.389,0.909,909.0,66.00660066006601
113.29,0.901,901.0,66.59267480577137
114.079,0.789,789.0,76.04562737642584
114.878,0.799,799.0,75.09386733416771
115.727,0.849,849.0,70.67137809187278
116.617,0.89,890.0,67.41573033707866
117.513,0.896,896.0,66.96428571428572
118.321,0.808,808.0,74.25742574257426
119.142,0.821,821.0,73.0816077953715
120.02,0.878,878.0,68.3371298405467
120.931,0.911,911.0,65.86169045005488
121.843,0.912,912.0,65.78947368421052
122.738,0.895,895.0,67.0391061452514
123.608,0.87,870.0,68.9655172413793
124.459,0.851,851.0,70.50528789659224
125.274,0.815,815.0,73.61963190184049
126.079,0.805,805.0,74.53416149068322
126.898,0.819,819.0,73.26007326007327
127.688,0.79,790.0,75.94936708860759
128.467,0.779,779.0,77.02182284980745
129.196,0.729,729.0,82.3045267489712
130.015,0.819,819.0,73.26007326007327
130.963,0.948,948.0,63.291139240506325
131.941,0.978,978.0,61.34969325153374
132.901,0.96,960.0,62.50000000000001
133.826,0.925,925.0,64.86486486486486
134.716,0.89,890.0,67.41573033707866
135.569,0.853,853.0,70.33997655334116
136.382,0.813,813.0,73.80073800738008
137.152,0.77,770.0,77.92207792207792
137.849,0.697,697.0,86.08321377331421
138.566,0.717,717.0,83.68200836820084
139.369,0.803,803.0,74.719800747198
140.276,0.907,907.0,66.1521499448732
141.169,0.893,893.0,67.18924972004478
142.06,0.891,891.0,67.34006734006734
142.932,0.872,872.0,68.80733944954129
143.778,0.846,846.0,70.92198581560284
144.584,0.806,806.0,74.44168734491315
145.384,0.8,800.0,75.0
146.166,0.782,782.0,76.72634271099744
146.882,0.716,716.0,83.79888268156424
147.582,0.7,700.0,85.71428571428572
148.294,0.712,712.0,84.26966292134833
149.117,0.823,823.0,72.90400972053463
150.023,0.906,906.0,66.2251655629139
150.94,0.917,917.0,65.43075245365321
151.854,0.914,914.0,65.64551422319474
152.689,0.835,835.0,71.8562874251497
153.532,0.843,843.0,71.17437722419929
154.355,0.823,823.0,72.90400972053463
155.218,0.863,863.0,69.52491309385863
156.048,0.83,830.0,72.28915662650603
156.841,0.793,793.0,75.66204287515762
157.532,0.691,691.0,86.83068017366136
158.254,0.722,722.0,83.10249307479225
158.991,0.737,737.0,81.4111261872456
159.776,0.785,785.0,76.43312101910827
160.596,0.82,820.0,73.17073170731707
161.391,0.795,795.0,75.47169811320754
162.17,0.779,779.0,77.02182284980745
162.942,0.772,772.0,77.720207253886
163.619,0.677,677.0,88.62629246676514
164.324,0.705,705.0,85.1063829787234
165.06,0.736,736.0,81.52173913043478
165.828,0.768,768.0,78.125
166.669,0.841,841.0,71.3436385255648
167.451,0.782,782.0,76.72634271099744
168.22,0.769,769.0,78.02340702210662
169.009,0.789,789.0,76.04562737642584
169.809,0.8,800.0,75.0
170.583,0.774,774.0,77.51937984496124
171.289,0.706,706.0,84.985835694051
171.972,0.683,683.0,87.84773060029282
172.627,0.655,655.0,91.6030534351145
173.249,0.622,622.0,96.46302250803858
173.859,0.61,610.0,98.36065573770492
174.473,0.614,614.0,97.7198697068404
175.31,0.837,837.0,71.68458781362008
176.228,0.918,918.0,65.359477124183
177.082,0.854,854.0,70.2576112412178
177.918,0.836,836.0,71.77033492822967
178.722,0.804,804.0,74.62686567164178
179.489,0.767,767.0,78.22685788787484
180.219,0.73,730.0,82.1917808219178
180.899,0.68,680.0,88.23529411764706
181.543,0.644,644.0,93.16770186335404
182.191,0.648,648.0,92.5925925925926
182.937,0.746,746.0,80.4289544235925
183.9,0.963,963.0,62.30529595015576
184.844,0.944,944.0,63.55932203389831
185.754,0.91,910.0,65.93406593406593
186.626,0.872,872.0,68.80733944954129
187.392,0.766,766.0,78.3289817232376
188.174,0.782,782.0,76.72634271099744
188.887,0.713,713.0,84.15147265077138
189.647,0.76,760.0,78.94736842105263
190.424,0.777,777.0,77.22007722007721
191.241,0.817,817.0,73.43941248470013
192.097,0.856,856.0,70.09345794392523
192.896,0.799,799.0,75.09386733416771
193.714,0.818,818.0,73.34963325183375
194.588,0.874,874.0,68.64988558352404
195.463,0.875,875.0,68.57142857142857
196.337,0.874,874.0,68.64988558352404
197.186,0.849,849.0,70.67137809187278
197.991,0.805,805.0,74.53416149068322
198.795,0.804,804.0,74.62686567164178
199.62,0.825,825.0,72.72727272727273
200.488,0.868,868.0,69.12442396313365
201.327,0.839,839.0,71.51370679380214
202.086,0.759,759.0,79.05138339920948
202.804,0.718,718.0,83.56545961002786
203.57,0.766,766.0,78.3289817232376
204.255,0.685,685.0,87.5912408759124
205.03,0.775,775.0,77.41935483870968
205.878,0.848,848.0,70.75471698113208
206.772,0.894,894.0,67.11409395973155
207.663,0.891,891.0,67.34006734006734
208.566,0.903,903.0,66.44518272425249
209.461,0.895,895.0,67.0391061452514
210.224,0.763,763.0,78.63695937090432
211.039,0.815,815.0,73.61963190184049
211.864,0.825,825.0,72.72727272727273
212.575,0.711,711.0,84.38818565400844
