Time,RR interval,HRV,Heart Rate
0.835,0.835,835.0,71.8562874251497
1.594,0.759,759.0,79.05138339920948
2.424,0.83,830.0,72.28915662650603
3.277,0.853,853.0,70.33997655334116
4.075,0.798,798.0,75.18796992481202
4.926,0.851,851.0,70.50528789659224
5.706,0.78,780.0,76.92307692307692
6.463,0.757,757.0,79.26023778071334
7.26,0.797,797.0,75.28230865746549
8.097,0.837,837.0,71.68458781362008
8.908,0.811,811.0,73.98273736128236
9.649,0.741,741.0,80.97165991902834
10.399,0.75,750.0,80.0
11.256,0.857,857.0,70.01166861143524
12.085,0.829,829.0,72.37635705669481
12.871,0.786,786.0,76.33587786259542
13.731,0.86,860.0,69.76744186046513
14.612,0.881,881.0,68.1044267877412
15.453,0.841,841.0,71.3436385255648
16.321,0.868,868.0,69.12442396313365
17.194,0.873,873.0,68.72852233676976
18.013,0.819,819.0,73.26007326007327
18.878,0.865,865.0,69.36416184971098
19.732,0.854,854.0,70.2576112412178
20.572,0.84,840.0,71.42857142857143
21.48,0.908,908.0,66.07929515418502
22.418,0.938,938.0,63.96588486140725
23.284,0.866,866.0,69.28406466512702
24.189,0.905,905.0,66.29834254143647
25.127,0.938,938.0,63.96588486140725
26.06,0.933,933.0,64.30868167202573
26.908,0.848,848.0,70.75471698113208
27.798,0.89,890.0,67.41573033707866
28.764,0.966,966.0,62.11180124223603
29.702,0.938,938.0,63.96588486140725
30.64,0.938,938.0,63.96588486140725
31.611,0.971,971.0,61.79196704428425
32.505,0.894,894.0,67.11409395973155
33.45,0.945,945.0,63.4920634920635
34.418,0.968,968.0,61.98347107438017
35.306,0.888,888.0,67.56756756756756
36.158,0.852,852.0,70.42253521126761
37.113,0.955,955.0,62.82722513089005
38.107,0.994,994.0,60.36217303822937
39.045,0.938,938.0,63.96588486140725
39.993,0.948,948.0,63.291139240506325
41.005,1.012,1012.0,59.28853754940711
41.938,0.933,933.0,64.30868167202573
42.858,0.92,920.0,65.21739130434783
43.826,0.968,968.0,61.98347107438017
44.749,0.923,923.0,65.00541711809318
45.601,0.852,852.0,70.42253521126761
46.532,0.931,931.0,64.4468313641246
47.511,0.979,979.0,61.287027579162405
48.499,0.988,988.0,60.72874493927125
49.368,0.869,869.0,69.04487917146145
50.292,0.924,924.0,64.93506493506493
51.256,0.964,964.0,62.240663900414944
52.185,0.929,929.0,64.58557588805166
53.147,0.962,962.0,62.37006237006237
54.094,0.947,947.0,63.35797254487857
54.96,0.866,866.0,69.28406466512702
55.914,0.954,954.0,62.89308176100629
56.879,0.965,965.0,62.176165803108816
57.78,0.901,901.0,66.59267480577137
58.688,0.908,908.0,66.07929515418502
59.642,0.954,954.0,62.89308176100629
60.554,0.912,912.0,65.78947368421052
61.456,0.902,902.0,66.51884700665188
62.432,0.976,976.0,61.475409836065566
63.346,0.914,914.0,65.64551422319474
64.302,0.956,956.0,62.76150627615063
65.288,0.986,986.0,60.851926977687626
66.176,0.888,888.0,67.56756756756756
67.154,0.978,978.0,61.34969325153374
68.128,0.974,974.0,61.60164271047229
69.011,0.883,883.0,67.95016987542469
69.98,0.969,969.0,61.91950464396285
70.931,0.951,951.0,63.09148264984228
71.811,0.88,880.0,68.18181818181819
72.776,0.965,965.0,62.176165803108816
73.711,0.935,935.0,64.17112299465239
74.596,0.885,885.0,67.79661016949153
75.571,0.975,975.0,61.53846153846155
76.5,0.929,929.0,64.58557588805166
77.394,0.894,894.0,67.11409395973155
78.352,0.958,958.0,62.63048016701462
79.248,0.896,896.0,66.96428571428572
80.138,0.89,890.0,67.41573033707866
81.083,0.945,945.0,63.4920634920635
81.953,0.87,870.0,68.9655172413793
82.808,0.855,855.0,70.17543859649122
83.726,0.918,918.0,65.359477124183
84.606,0.88,880.0,68.18181818181819
85.468,0.862,862.0,69.60556844547564
86.402,0.934,934.0,64.23982869379014
87.305,0.903,903.0,66.44518272425249
88.204,0.899,899.0,66.74082313681868
89.141,0.937,937.0,64.03415154749199
90.005,0.864,864.0,69.44444444444444
90.929,0.924,924.0,64.93506493506493
91.856,0.927,927.0,64.72491909385113
92.707,0.851,851.0,70.50528789659224
93.629,0.922,922.0,65.07592190889372
94.525,0.896,896.0,66.96428571428572
95.397,0.872,872.0,68.80733944954129
96.343,0.946,946.0,63.424947145877375
