Time,RR interval,HRV,Heart Rate
0.813,0.813,813.0,73.80073800738008
1.631,0.818,818.0,73.34963325183375
2.424,0.793,793.0,75.66204287515762
3.184,0.76,760.0,78.94736842105263
3.958,0.774,774.0,77.51937984496124
4.778,0.82,820.0,73.17073170731707
5.683,0.905,905.0,66.29834254143647
6.562,0.879,879.0,68.25938566552901
7.509,0.947,947.0,63.35797254487857
8.414,0.905,905.0,66.29834254143647
9.294,0.88,880.0,68.18181818181819
10.179,0.885,885.0,67.79661016949153
11.066,0.887,887.0,67.64374295377677
11.901,0.835,835.0,71.8562874251497
12.759,0.858,858.0,69.93006993006993
13.654,0.895,895.0,67.0391061452514
14.523,0.869,869.0,69.04487917146145
15.328,0.805,805.0,74.53416149068322
16.142,0.814,814.0,73.71007371007371
16.962,0.82,820.0,73.17073170731707
17.803,0.841,841.0,71.3436385255648
18.674,0.871,871.0,68.88633754305395
19.538,0.864,864.0,69.44444444444444
20.361,0.823,823.0,72.90400972053463
21.101,0.74,740.0,81.08108108108108
21.83,0.729,729.0,82.3045267489712
22.561,0.731,731.0,82.07934336525308
23.296,0.735,735.0,81.63265306122449
24.036,0.74,740.0,81.08108108108108
24.881,0.845,845.0,71.00591715976331
25.754,0.873,873.0,68.72852233676976
26.634,0.88,880.0,68.18181818181819
27.521,0.887,887.0,67.64374295377677
28.404,0.883,883.0,67.95016987542469
29.201,0.797,797.0,75.28230865746549
30.011,0.81,810.0,74.07407407407408
30.764,0.753,753.0,79.6812749003984
31.567,0.803,803.0,74.719800747198
32.36,0.793,793.0,75.66204287515762
33.177,0.817,817.0,73.43941248470013
34.017,0.84,840.0,71.42857142857143
34.804,0.787,787.0,76.23888182973316
35.599,0.795,795.0,75.47169811320754
36.362,0.763,763.0,78.63695937090432
37.121,0.759,759.0,79.05138339920948
37.851,0.73,730.0,82.1917808219178
38.558,0.707,707.0,84.86562942008487
39.281,0.723,723.0,82.98755186721992
40.03,0.749,749.0,80.1068090787717
40.82,0.79,790.0,75.94936708860759
41.636,0.816,816.0,73.52941176470588
42.39,0.754,754.0,79.57559681697613
43.154,0.764,764.0,78.53403141361257
43.927,0.773,773.0,77.61966364812419
44.667,0.74,740.0,81.08108108108108
45.378,0.711,711.0,84.38818565400844
46.091,0.713,713.0,84.15147265077138
46.842,0.751,751.0,79.89347536617844
47.669,0.827,827.0,72.55139056831923
48.516,0.847,847.0,70.83825265643448
49.33,0.814,814.0,73.71007371007371
50.065,0.735,735.0,81.63265306122449
50.781,0.716,716.0,83.79888268156424
51.487,0.706,706.0,84.985835694051
52.229,0.742,742.0,80.86253369272237
53.015,0.786,786.0,76.33587786259542
53.846,0.831,831.0,72.20216606498195
54.657,0.811,811.0,73.98273736128236
55.441,0.784,784.0,76.53061224489795
56.169,0.728,728.0,82.41758241758242
56.852,0.683,683.0,87.84773060029282
57.526,0.674,674.0,89.02077151335311
58.194,0.668,668.0,89.82035928143712
58.875,0.681,681.0,88.10572687224669
59.585,0.71,710.0,84.50704225352113
60.481,0.896,896.0,66.96428571428572
61.302,0.821,821.0,73.0816077953715
62.148,0.846,846.0,70.92198581560284
62.989,0.841,841.0,71.3436385255648
63.866,0.877,877.0,68.41505131128848
64.813,0.947,947.0,63.35797254487857
65.669,0.856,856.0,70.09345794392523
66.55,0.881,881.0,68.1044267877412
67.408,0.858,858.0,69.93006993006993
68.198,0.79,790.0,75.94936708860759
69.001,0.803,803.0,74.719800747198
69.79,0.789,789.0,76.04562737642584
70.597,0.807,807.0,74.34944237918215
71.345,0.748,748.0,80.21390374331551
72.138,0.793,793.0,75.66204287515762
72.961,0.823,823.0,72.90400972053463
73.789,0.828,828.0,72.46376811594203
74.626,0.837,837.0,71.68458781362008
75.379,0.753,753.0,79.6812749003984
76.168,0.789,789.0,76.04562737642584
76.948,0.78,780.0,76.92307692307692
77.736,0.788,788.0,76.14213197969544
78.549,0.813,813.0,73.80073800738008
79.334,0.785,785.0,76.43312101910827
80.127,0.793,793.0,75.66204287515762
80.877,0.75,750.0,80.0
81.6,0.723,723.0,82.98755186721992
82.307,0.707,707.0,84.86562942008487
83.03,0.723,723.0,82.98755186721992
83.757,0.727,727.0,82.53094910591473
84.511,0.754,754.0,79.57559681697613
85.303,0.792,792.0,75.75757575757575
86.103,0.8,800.0,75.0
86.908,0.805,805.0,74.53416149068322
87.747,0.839,839.0,71.51370679380214
88.555,0.808,808.0,74.25742574257426
89.409,0.854,854.0,70.2576112412178
90.258,0.849,849.0,70.67137809187278
91.027,0.769,769.0,78.02340702210662
91.808,0.781,781.0,76.82458386683739
92.555,0.747,747.0,80.32128514056225
93.291,0.736,736.0,81.52173913043478
94.018,0.727,727.0,82.53094910591473
94.716,0.698,698.0,85.95988538681948
95.448,0.732,732.0,81.9672131147541
96.212,0.764,764.0,78.53403141361257
96.982,0.77,770.0,77.92207792207792
97.84,0.858,858.0,69.93006993006993
98.736,0.896,896.0,66.96428571428572
99.647,0.911,911.0,65.86169045005488
100.548,0.901,901.0,66.59267480577137
101.438,0.89,890.0,67.41573033707866
102.292,0.854,854.0,70.2576112412178
103.102,0.81,810.0,74.07407407407408
103.875,0.773,773.0,77.61966364812419
104.591,0.716,716.0,83.79888268156424
105.285,0.694,694.0,86.45533141210376
105.974,0.689,689.0,87.08272859216257
106.715,0.741,741.0,80.97165991902834
107.563,0.848,848.0,70.75471698113208
108.447,0.884,884.0,67.87330316742081
109.327,0.88,880.0,68.18181818181819
110.187,0.86,860.0,69.76744186046513
111.007,0.82,820.0,73.17073170731707
111.838,0.831,831.0,72.20216606498195
112.633,0.795,795.0,75.47169811320754
113.404,0.771,771.0,77.82101167315176
114.17,0.766,766.0,78.3289817232376
114.937,0.767,767.0,78.22685788787484
115.667,0.73,730.0,82.1917808219178
116.372,0.705,705.0,85.1063829787234
117.074,0.702,702.0,85.47008547008548
117.793,0.719,719.0,83.44923504867873
118.553,0.76,760.0,78.94736842105263
119.406,0.853,853.0,70.33997655334116
120.284,0.878,878.0,68.3371298405467
