Time,RR interval,HRV,Heart Rate
0.654,0.654,654.0,91.74311926605505
1.302,0.648,648.0,92.5925925925926
1.943,0.641,641.0,93.603744149766
2.565,0.622,622.0,96.46302250803858
3.181,0.616,616.0,97.4025974025974
3.794,0.613,613.0,97.87928221859708
4.418,0.624,624.0,96.15384615384616
5.086,0.668,668.0,89.82035928143712
5.824,0.738,738.0,81.30081300813008
6.568,0.744,744.0,80.64516129032258
7.268,0.7,700.0,85.71428571428572
7.956,0.688,688.0,87.2093023255814
8.654,0.698,698.0,85.95988538681948
9.369,0.715,715.0,83.91608391608392
10.063,0.694,694.0,86.45533141210376
10.774,0.711,711.0,84.38818565400844
11.491,0.717,717.0,83.68200836820084
12.22,0.729,729.0,82.3045267489712
12.953,0.733,733.0,81.85538881309687
13.677,0.724,724.0,82.87292817679558
14.367,0.69,690.0,86.95652173913045
15.009,0.642,642.0,93.45794392523364
15.63,0.621,621.0,96.61835748792272
16.247,0.617,617.0,97.2447325769854
16.857,0.61,610.0,98.36065573770492
17.468,0.611,611.0,98.19967266775777
18.071,0.603,603.0,99.50248756218906
18.667,0.596,596.0,100.67114093959732
19.272,0.605,605.0,99.17355371900828
19.895,0.623,623.0,96.30818619582664
20.544,0.649,649.0,92.44992295839752
21.215,0.671,671.0,89.41877794336811
21.883,0.668,668.0,89.82035928143712
22.539,0.656,656.0,91.46341463414636
23.185,0.646,646.0,92.87925696594426
23.831,0.646,646.0,92.87925696594426
24.485,0.654,654.0,91.74311926605505
25.156,0.671,671.0,89.41877794336811
25.834,0.678,678.0,88.49557522123894
26.488,0.654,654.0,91.74311926605505
27.141,0.653,653.0,91.88361408882082
27.81,0.669,669.0,89.68609865470852
28.498,0.688,688.0,87.2093023255814
29.216,0.718,718.0,83.56545961002786
29.967,0.751,751.0,79.89347536617844
30.722,0.755,755.0,79.47019867549669
31.498,0.776,776.0,77.31958762886597
32.278,0.78,780.0,76.92307692307692
33.015,0.737,737.0,81.4111261872456
33.74,0.725,725.0,82.75862068965517
34.453,0.713,713.0,84.15147265077138
35.184,0.731,731.0,82.07934336525308
35.915,0.731,731.0,82.07934336525308
36.644,0.729,729.0,82.3045267489712
37.397,0.753,753.0,79.6812749003984
38.173,0.776,776.0,77.31958762886597
38.944,0.771,771.0,77.82101167315176
39.732,0.788,788.0,76.14213197969544
40.489,0.757,757.0,79.26023778071334
41.252,0.763,763.0,78.63695937090432
42.012,0.76,760.0,78.94736842105263
42.775,0.763,763.0,78.63695937090432
43.529,0.754,754.0,79.57559681697613
44.258,0.729,729.0,82.3045267489712
44.991,0.733,733.0,81.85538881309687
45.726,0.735,735.0,81.63265306122449
46.476,0.75,750.0,80.0
47.235,0.759,759.0,79.05138339920948
48.003,0.768,768.0,78.125
48.77,0.767,767.0,78.22685788787484
49.541,0.771,771.0,77.82101167315176
50.313,0.772,772.0,77.720207253886
51.09,0.777,777.0,77.22007722007721
51.888,0.798,798.0,75.18796992481202
52.684,0.796,796.0,75.37688442211055
53.475,0.791,791.0,75.85335018963337
54.296,0.821,821.0,73.0816077953715
55.106,0.81,810.0,74.07407407407408
55.958,0.852,852.0,70.42253521126761
56.817,0.859,859.0,69.84866123399303
57.637,0.82,820.0,73.17073170731707
58.404,0.767,767.0,78.22685788787484
59.086,0.682,682.0,87.97653958944281
59.735,0.649,649.0,92.44992295839752
60.393,0.658,658.0,91.1854103343465
61.092,0.699,699.0,85.83690987124464
61.863,0.771,771.0,77.82101167315176
62.659,0.796,796.0,75.37688442211055
63.404,0.745,745.0,80.53691275167786
64.088,0.684,684.0,87.71929824561403
64.754,0.666,666.0,90.09009009009009
65.414,0.66,660.0,90.9090909090909
66.099,0.685,685.0,87.5912408759124
66.817,0.718,718.0,83.56545961002786
67.575,0.758,758.0,79.15567282321899
68.328,0.753,753.0,79.6812749003984
69.072,0.744,744.0,80.64516129032258
69.798,0.726,726.0,82.64462809917356
70.507,0.709,709.0,84.6262341325811
71.194,0.687,687.0,87.33624454148472
71.859,0.665,665.0,90.22556390977444
72.519,0.66,660.0,90.9090909090909
73.198,0.679,679.0,88.36524300441826
73.909,0.711,711.0,84.38818565400844
74.63,0.721,721.0,83.21775312066575
75.353,0.723,723.0,82.98755186721992
76.082,0.729,729.0,82.3045267489712
76.812,0.73,730.0,82.1917808219178
77.546,0.734,734.0,81.74386920980928
78.283,0.737,737.0,81.4111261872456
79.021,0.738,738.0,81.30081300813008
79.742,0.721,721.0,83.21775312066575
80.46,0.718,718.0,83.56545961002786
81.17,0.71,710.0,84.50704225352113
81.865,0.695,695.0,86.33093525179856
82.528,0.663,663.0,90.49773755656108
83.172,0.644,644.0,93.16770186335404
83.813,0.641,641.0,93.603744149766
84.444,0.631,631.0,95.08716323296356
85.061,0.617,617.0,97.2447325769854
85.71,0.649,649.0,92.44992295839752
86.431,0.721,721.0,83.21775312066575
